timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1634575063461,1055,Petición,200,OK,Prueba de Estres 100U 1-1,text,true,,29915,114,2,2,https://reqres.in/,934,0,513
1634575064057,1095,Petición,200,OK,Prueba de Estres 100U 1-2,text,true,,29906,114,2,2,https://reqres.in/,973,0,538
1634575064652,1025,Petición,200,OK,Prueba de Estres 100U 1-3,text,true,,29902,114,2,2,https://reqres.in/,890,0,494
1634575065255,1038,Petición,200,OK,Prueba de Estres 100U 1-4,text,true,,29904,114,2,2,https://reqres.in/,917,0,521
1634575065849,1000,Petición,200,OK,Prueba de Estres 100U 1-5,text,true,,29910,114,2,2,https://reqres.in/,865,0,463
1634575066449,907,Petición,200,OK,Prueba de Estres 100U 1-6,text,true,,29906,114,2,2,https://reqres.in/,786,0,401
1634575067050,1265,Petición,200,OK,Prueba de Estres 100U 1-7,text,true,,29904,114,3,3,https://reqres.in/,1144,0,705
1634575067650,1109,Petición,200,OK,Prueba de Estres 100U 1-8,text,true,,29904,114,2,2,https://reqres.in/,963,0,544
1634575068250,1055,Petición,200,OK,Prueba de Estres 100U 1-9,text,true,,29904,114,2,2,https://reqres.in/,927,0,510
1634575068849,945,Petición,200,OK,Prueba de Estres 100U 1-10,text,true,,29902,114,2,2,https://reqres.in/,847,0,425
1634575069450,952,Petición,200,OK,Prueba de Estres 100U 1-11,text,true,,29900,114,2,2,https://reqres.in/,803,0,404
1634575070050,1044,Petición,200,OK,Prueba de Estres 100U 1-12,text,true,,29908,114,2,2,https://reqres.in/,932,0,510
1634575070650,1070,Petición,200,OK,Prueba de Estres 100U 1-13,text,true,,29908,114,2,2,https://reqres.in/,974,0,545
1634575071257,1105,Petición,200,OK,Prueba de Estres 100U 1-14,text,true,,29906,114,2,2,https://reqres.in/,964,0,541
1634575071857,1060,Petición,200,OK,Prueba de Estres 100U 1-15,text,true,,29908,114,2,2,https://reqres.in/,925,0,506
1634575072449,1036,Petición,200,OK,Prueba de Estres 100U 1-16,text,true,,29908,114,2,2,https://reqres.in/,949,0,506
1634575073050,1021,Petición,200,OK,Prueba de Estres 100U 1-17,text,true,,29900,114,2,2,https://reqres.in/,923,0,506
1634575073650,1070,Petición,200,OK,Prueba de Estres 100U 1-18,text,true,,29914,114,2,2,https://reqres.in/,940,0,534
1634575074249,986,Petición,200,OK,Prueba de Estres 100U 1-19,text,true,,29909,114,2,2,https://reqres.in/,853,0,468
1634575074850,959,Petición,200,OK,Prueba de Estres 100U 1-20,text,true,,29906,114,2,2,https://reqres.in/,854,0,415
1634575075450,890,Petición,200,OK,Prueba de Estres 100U 1-21,text,true,,29913,114,2,2,https://reqres.in/,763,0,393
1634575076050,947,Petición,200,OK,Prueba de Estres 100U 1-22,text,true,,29902,114,2,2,https://reqres.in/,852,0,423
1634575076650,1123,Petición,200,OK,Prueba de Estres 100U 1-23,text,true,,29910,114,2,2,https://reqres.in/,988,0,522
1634575077250,1030,Petición,200,OK,Prueba de Estres 100U 1-24,text,true,,29912,114,2,2,https://reqres.in/,891,0,493
1634575077849,1109,Petición,200,OK,Prueba de Estres 100U 1-25,text,true,,29908,114,2,2,https://reqres.in/,963,0,545
1634575078450,1030,Petición,200,OK,Prueba de Estres 100U 1-26,text,true,,29920,114,2,2,https://reqres.in/,909,0,508
1634575079050,949,Petición,200,OK,Prueba de Estres 100U 1-27,text,true,,29900,114,2,2,https://reqres.in/,813,0,436
1634575079652,906,Petición,200,OK,Prueba de Estres 100U 1-28,text,true,,29906,114,2,2,https://reqres.in/,771,0,396
1634575080250,988,Petición,200,OK,Prueba de Estres 100U 1-29,text,true,,29904,114,2,2,https://reqres.in/,854,0,466
1634575080863,897,Petición,200,OK,Prueba de Estres 100U 1-30,text,true,,29906,114,2,2,https://reqres.in/,772,0,402
1634575081451,1044,Petición,200,OK,Prueba de Estres 100U 1-31,text,true,,29900,114,2,2,https://reqres.in/,934,0,506
1634575082052,1109,Petición,200,OK,Prueba de Estres 100U 1-32,text,true,,29902,114,2,2,https://reqres.in/,982,0,545
1634575082651,1081,Petición,200,OK,Prueba de Estres 100U 1-33,text,true,,29908,114,2,2,https://reqres.in/,965,0,541
1634575083250,1001,Petición,200,OK,Prueba de Estres 100U 1-34,text,true,,29908,114,2,2,https://reqres.in/,866,0,476
1634575083850,915,Petición,200,OK,Prueba de Estres 100U 1-35,text,true,,29900,114,2,2,https://reqres.in/,814,0,401
1634575084451,1101,Petición,200,OK,Prueba de Estres 100U 1-36,text,true,,29911,114,2,2,https://reqres.in/,863,0,425
1634575085051,923,Petición,200,OK,Prueba de Estres 100U 1-37,text,true,,29902,114,2,2,https://reqres.in/,783,0,413
1634575085650,991,Petición,200,OK,Prueba de Estres 100U 1-38,text,true,,29915,114,2,2,https://reqres.in/,852,0,465
1634575086251,1131,Petición,200,OK,Prueba de Estres 100U 1-39,text,true,,29912,114,2,2,https://reqres.in/,985,0,584
1634575086851,1035,Petición,200,OK,Prueba de Estres 100U 1-40,text,true,,29920,114,2,2,https://reqres.in/,913,0,515
1634575087450,1020,Petición,200,OK,Prueba de Estres 100U 1-41,text,true,,29906,114,2,2,https://reqres.in/,855,0,456
1634575088054,1093,Petición,200,OK,Prueba de Estres 100U 1-42,text,true,,29910,114,2,2,https://reqres.in/,971,0,505
1634575088664,978,Petición,200,OK,Prueba de Estres 100U 1-43,text,true,,29919,114,2,2,https://reqres.in/,838,0,453
1634575089253,916,Petición,200,OK,Prueba de Estres 100U 1-44,text,true,,29914,114,2,2,https://reqres.in/,821,0,413
1634575089850,1044,Petición,200,OK,Prueba de Estres 100U 1-45,text,true,,29925,114,2,2,https://reqres.in/,892,0,503
1634575090450,956,Petición,200,OK,Prueba de Estres 100U 1-46,text,true,,29900,114,2,2,https://reqres.in/,863,0,445
1634575091049,1034,Petición,200,OK,Prueba de Estres 100U 1-47,text,true,,29921,114,2,2,https://reqres.in/,944,0,505
1634575091650,1025,Petición,200,OK,Prueba de Estres 100U 1-48,text,true,,29908,114,2,2,https://reqres.in/,906,0,503
1634575092249,1027,Petición,200,OK,Prueba de Estres 100U 1-49,text,true,,29914,114,2,2,https://reqres.in/,895,0,484
1634575092850,947,Petición,200,OK,Prueba de Estres 100U 1-50,text,true,,29902,114,2,2,https://reqres.in/,813,0,425
1634575093451,909,Petición,200,OK,Prueba de Estres 100U 1-51,text,true,,29908,114,2,2,https://reqres.in/,775,0,398
1634575094049,956,Petición,200,OK,Prueba de Estres 100U 1-52,text,true,,29919,114,2,2,https://reqres.in/,867,0,424
1634575094649,952,Petición,200,OK,Prueba de Estres 100U 1-53,text,true,,29906,114,2,2,https://reqres.in/,815,0,425
1634575095250,893,Petición,200,OK,Prueba de Estres 100U 1-54,text,true,,29912,114,2,2,https://reqres.in/,762,0,397
1634575095850,942,Petición,200,OK,Prueba de Estres 100U 1-55,text,true,,29904,114,2,2,https://reqres.in/,814,0,426
1634575096450,931,Petición,200,OK,Prueba de Estres 100U 1-56,text,true,,29906,114,2,2,https://reqres.in/,803,0,410
1634575097059,981,Petición,200,OK,Prueba de Estres 100U 1-57,text,true,,29916,114,2,2,https://reqres.in/,883,0,455
1634575097660,1031,Petición,200,OK,Prueba de Estres 100U 1-58,text,true,,29912,114,2,2,https://reqres.in/,893,0,489
1634575098260,1180,Petición,200,OK,Prueba de Estres 100U 1-59,text,true,,29919,114,2,2,https://reqres.in/,1042,0,632
1634575098850,1065,Petición,200,OK,Prueba de Estres 100U 1-60,text,true,,29911,114,2,2,https://reqres.in/,923,0,513
1634575099449,985,Petición,200,OK,Prueba de Estres 100U 1-61,text,true,,29919,114,2,2,https://reqres.in/,846,0,465
1634575100049,910,Petición,200,OK,Prueba de Estres 100U 1-62,text,true,,29906,114,2,2,https://reqres.in/,778,0,415
1634575100651,1110,Petición,200,OK,Prueba de Estres 100U 1-63,text,true,,29902,114,2,2,https://reqres.in/,973,0,573
1634575101258,1152,Petición,200,OK,Prueba de Estres 100U 1-64,text,true,,29910,114,2,2,https://reqres.in/,1054,0,636
1634575101851,1064,Petición,200,OK,Prueba de Estres 100U 1-65,text,true,,29908,114,2,2,https://reqres.in/,922,0,522
1634575102451,984,Petición,200,OK,Prueba de Estres 100U 1-66,text,true,,29908,114,2,2,https://reqres.in/,893,0,465
1634575103050,1029,Petición,200,OK,Prueba de Estres 100U 1-67,text,true,,29910,114,2,2,https://reqres.in/,911,0,505
1634575103650,1081,Petición,200,OK,Prueba de Estres 100U 1-68,text,true,,29923,114,2,2,https://reqres.in/,957,0,543
1634575104252,993,Petición,200,OK,Prueba de Estres 100U 1-69,text,true,,29912,114,2,2,https://reqres.in/,870,0,449
1634575104856,929,Petición,200,OK,Prueba de Estres 100U 1-70,text,true,,29906,114,2,2,https://reqres.in/,769,0,408
1634575105451,941,Petición,200,OK,Prueba de Estres 100U 1-71,text,true,,29906,114,2,2,https://reqres.in/,831,0,424
1634575106051,915,Petición,200,OK,Prueba de Estres 100U 1-72,text,true,,29919,114,2,2,https://reqres.in/,783,0,419
1634575106652,1037,Petición,200,OK,Prueba de Estres 100U 1-73,text,true,,29912,114,2,2,https://reqres.in/,932,0,509
1634575107252,1083,Petición,200,OK,Prueba de Estres 100U 1-74,text,true,,29910,114,2,2,https://reqres.in/,981,0,543
1634575107850,1026,Petición,200,OK,Prueba de Estres 100U 1-75,text,true,,29918,114,2,2,https://reqres.in/,893,0,470
1634575108451,1068,Petición,200,OK,Prueba de Estres 100U 1-76,text,true,,29904,114,2,2,https://reqres.in/,931,0,504
1634575109052,986,Petición,200,OK,Prueba de Estres 100U 1-77,text,true,,29906,114,2,2,https://reqres.in/,853,0,466
1634575109659,904,Petición,200,OK,Prueba de Estres 100U 1-78,text,true,,29902,114,2,2,https://reqres.in/,805,0,405
1634575110249,954,Petición,200,OK,Prueba de Estres 100U 1-79,text,true,,29915,114,2,2,https://reqres.in/,815,0,424
1634575110850,956,Petición,200,OK,Prueba de Estres 100U 1-80,text,true,,29924,114,2,2,https://reqres.in/,802,0,424
1634575111463,1025,Petición,200,OK,Prueba de Estres 100U 1-81,text,true,,29910,114,2,2,https://reqres.in/,918,0,491
1634575112050,1110,Petición,200,OK,Prueba de Estres 100U 1-82,text,true,,29906,114,2,2,https://reqres.in/,944,0,546
1634575112649,1074,Petición,200,OK,Prueba de Estres 100U 1-83,text,true,,29902,114,2,2,https://reqres.in/,945,0,523
1634575113250,1064,Petición,200,OK,Prueba de Estres 100U 1-84,text,true,,29910,114,2,2,https://reqres.in/,946,0,519
1634575113849,1065,Petición,200,OK,Prueba de Estres 100U 1-85,text,true,,29904,114,2,2,https://reqres.in/,945,0,525
1634575114450,995,Petición,200,OK,Prueba de Estres 100U 1-86,text,true,,29902,114,2,2,https://reqres.in/,902,0,493
1634575115050,1047,Petición,200,OK,Prueba de Estres 100U 1-87,text,true,,29906,114,2,2,https://reqres.in/,931,0,505
1634575115650,1150,Petición,200,OK,Prueba de Estres 100U 1-88,text,true,,29910,114,2,2,https://reqres.in/,1020,0,575
1634575116250,1064,Petición,200,OK,Prueba de Estres 100U 1-89,text,true,,29909,114,2,2,https://reqres.in/,942,0,540
1634575116850,1241,Petición,200,OK,Prueba de Estres 100U 1-90,text,true,,29912,114,3,3,https://reqres.in/,1112,0,732
1634575117450,990,Petición,200,OK,Prueba de Estres 100U 1-91,text,true,,29906,114,2,2,https://reqres.in/,853,0,462
1634575118050,945,Petición,200,OK,Prueba de Estres 100U 1-92,text,true,,29906,114,2,2,https://reqres.in/,802,0,421
1634575118650,1050,Petición,200,OK,Prueba de Estres 100U 1-93,text,true,,29906,114,2,2,https://reqres.in/,934,0,510
1634575119249,1090,Petición,200,OK,Prueba de Estres 100U 1-94,text,true,,29904,114,2,2,https://reqres.in/,963,0,545
1634575119850,1038,Petición,200,OK,Prueba de Estres 100U 1-95,text,true,,29904,114,2,2,https://reqres.in/,940,0,512
1634575120450,1109,Petición,200,OK,Prueba de Estres 100U 1-96,text,true,,29902,114,2,2,https://reqres.in/,973,0,544
1634575121050,909,Petición,200,OK,Prueba de Estres 100U 1-97,text,true,,29913,114,2,2,https://reqres.in/,778,0,414
1634575121650,905,Petición,200,OK,Prueba de Estres 100U 1-98,text,true,,29902,114,2,2,https://reqres.in/,814,0,424
1634575122249,956,Petición,200,OK,Prueba de Estres 100U 1-99,text,true,,29927,114,2,2,https://reqres.in/,852,0,456
